,HOME,AWAY,PTS,FG%,3P%,FT%,OREB,DREB,REB,AST,BLK,TOV,PF
449,MIA,MEM,4.085365853658544,1.1768292682926784,0.6987804878048607,-2.6329268292682855,-0.19512195121951237,3.1341463414634134,2.939024390243901,1.1585365853658551,0.5,-0.5975609756097562,-3.073170731707318
450,MIL,MIA,3.0609756097560847,2.2902439024390446,-0.17073170731706,2.830487804878061,-0.9146341463414629,-2.707317073170728,-3.621951219512191,0.5243902439024382,0.07317073170731714,-0.5243902439024382,1.2682926829268304
451,MIN,MIL,3.036585365853668,-0.14146341463415268,0.1731707317073159,1.825609756097549,1.951219512195122,0.17073170731707066,2.121951219512191,-0.5365853658536572,-1.1951219512195124,-1.3902439024390247,-3.134146341463417
452,NOP,MIN,2.207317073170728,0.6817073170731689,0.14390243902439437,-2.797560975609798,-1.6585365853658534,4.024390243902442,2.3658536585365866,4.073170731707318,1.7073170731707323,2.463414634146341,0.9146341463414629
453,NYK,NOP,-7.256097560975604,-1.95853658536587,-0.6853658536585385,1.2463414634146517,1.7926829268292686,-2.085365853658537,-0.292682926829265,-3.4512195121951237,-0.7804878048780495,-0.1829268292682915,1.3658536585365866
454,OKC,NYK,3.3902439024390247,-1.1524390243902118,-0.04390243902440005,-7.217073170731695,2.012195121951219,-0.9878048780487845,1.0243902439024382,-1.9756097560975618,-0.10975609756097526,-0.7439024390243905,-0.35365853658536395
455,ORL,OKC,-4.451219512195124,-0.02560975609757321,-0.41341463414633495,4.72195121951215,-3.6829268292682933,0.2560975609756113,-3.4268292682926855,2.085365853658537,-0.14634146341463428,0.5487804878048781,-0.9024390243902438
456,PHI,ORL,6.402439024390247,1.950000000000017,1.8878048780487902,-0.2597560975609383,2.085365853658537,3.707317073170735,5.792682926829272,3.658536585365855,0.24390243902439046,1.963414634146341,2.829268292682926
457,PHX,PHI,-5.878048780487816,-2.915853658536605,-3.1512195121951194,-2.1682926829268325,-0.6219512195121961,-2.682926829268297,-3.3048780487804876,-5.829268292682926,-0.6097560975609762,-0.7804878048780495,-0.04878048780487987
458,POR,PHX,1.6951219512195195,1.0195121951219548,3.196341463414626,6.767073170731734,-0.08536585365853533,1.4268292682926855,1.3414634146341413,-1.7560975609756113,0.6463414634146343,-2.1951219512195124,-2.5365853658536572
459,SAC,POR,-6.792682926829272,-0.2731707317073173,0.9573170731707421,-6.468292682926872,-0.7195121951219523,-3.8414634146341484,-4.560975609756092,2.060975609756099,-1.012195121951219,0.19512195121951237,0.4878048780487809
460,SAS,SAC,3.9024390243902474,0.6987804878048891,-2.4658536585366235,3.75243902439027,0.8902439024390247,2.4268292682926855,3.317073170731703,1.2195121951219505,1.463414634146341,-0.5731707317073162,-2.8170731707317067
